region 1: cartogram area = -36.589733, relative error = 0.000004
region 2: cartogram area = -34.080018, relative error = -0.000010
region 193: cartogram area = -86.445886, relative error = 0.000008
region 304: cartogram area = -56.128042, relative error = -0.000012
region 415: cartogram area = -137.639243, relative error = 0.000011
region 526: cartogram area = -141.215960, relative error = -0.000003
region 637: cartogram area = -43.787076, relative error = -0.000026
region 748: cartogram area = -231.792686, relative error = 0.000076
region 859: cartogram area = -170.814985, relative error = -0.000230
region 970: cartogram area = -43.417188, relative error = 0.000455
region 3: cartogram area = -35.278632, relative error = -0.000431
region 94: cartogram area = -49.484870, relative error = 0.000405
region 105: cartogram area = -32.891960, relative error = -0.000487
region 116: cartogram area = -40.921677, relative error = 0.000316
region 127: cartogram area = -42.857954, relative error = -0.000590
region 138: cartogram area = -160.115325, relative error = 0.000240
region 149: cartogram area = -37.376698, relative error = -0.000402
region 160: cartogram area = -41.391795, relative error = 0.000241
region 171: cartogram area = -258.696853, relative error = -0.000243
region 182: cartogram area = -46.342866, relative error = 0.000537
region 194: cartogram area = -163.801055, relative error = -0.000242
region 205: cartogram area = -42.217867, relative error = 0.000317
region 216: cartogram area = -56.442287, relative error = -0.000275
region 227: cartogram area = -210.905907, relative error = 0.000130
region 238: cartogram area = -38.989615, relative error = -0.000163
region 249: cartogram area = -45.272576, relative error = 0.000078
region 260: cartogram area = -116.508277, relative error = -0.000057
region 271: cartogram area = -43.832489, relative error = 0.000072
region 282: cartogram area = -238.126065, relative error = -0.000019
region 293: cartogram area = -196.071999, relative error = 0.000010
region 305: cartogram area = -53.639470, relative error = -0.000011
region 316: cartogram area = -145.661203, relative error = 0.000015
region 327: cartogram area = -32.475335, relative error = -0.000023
region 338: cartogram area = -51.357701, relative error = 0.000013
region 349: cartogram area = -93.087580, relative error = -0.000010
region 360: cartogram area = -30.110948, relative error = 0.000004
region 371: cartogram area = -243.827310, relative error = -0.000002
region 382: cartogram area = -93.827864, relative error = -0.000011
region 393: cartogram area = -47.473147, relative error = 0.000938
region 404: cartogram area = -212.265005, relative error = -0.000541
region 416: cartogram area = -62.246181, relative error = 0.000805
region 427: cartogram area = -43.024707, relative error = -0.001013
region 438: cartogram area = -98.404362, relative error = 0.000724
region 449: cartogram area = -37.220470, relative error = -0.001284
region 460: cartogram area = -188.227318, relative error = 0.000512
region 471: cartogram area = -75.425307, relative error = -0.000488
region 482: cartogram area = -47.886318, relative error = 0.000538
region 493: cartogram area = -195.733332, relative error = -0.000459
region 504: cartogram area = -189.945198, relative error = 0.000456
region 515: cartogram area = -50.193620, relative error = -0.001050
region 527: cartogram area = -120.113345, relative error = 0.000678
region 538: cartogram area = -35.388042, relative error = -0.000824
region 549: cartogram area = -50.508535, relative error = 0.000711
region 560: cartogram area = -64.472007, relative error = -0.000429
region 571: cartogram area = -42.645718, relative error = 0.000218
region 582: cartogram area = -210.296216, relative error = -0.000129
region 593: cartogram area = -94.478664, relative error = 0.000129
region 604: cartogram area = -49.396899, relative error = -0.000126
region 615: cartogram area = -161.522129, relative error = 0.000034
region 626: cartogram area = -187.943241, relative error = -0.000014
region 638: cartogram area = -44.981738, relative error = 0.000014
region 649: cartogram area = -246.189425, relative error = -0.000014
region 660: cartogram area = -36.467149, relative error = 0.000027
region 671: cartogram area = -46.544763, relative error = 0.000011
region 682: cartogram area = -83.111341, relative error = -0.000023
region 693: cartogram area = -36.200292, relative error = 0.000041
region 704: cartogram area = -109.420542, relative error = 0.000013
region 715: cartogram area = -241.421833, relative error = 0.000002
region 726: cartogram area = -37.051546, relative error = -0.000854
region 737: cartogram area = -204.997479, relative error = 0.000709
region 749: cartogram area = -73.121531, relative error = -0.001349
region 760: cartogram area = -36.325876, relative error = 0.001803
region 771: cartogram area = -81.704647, relative error = -0.001128
region 782: cartogram area = -35.396240, relative error = 0.001734
region 793: cartogram area = -96.156165, relative error = -0.000823
region 804: cartogram area = -151.629411, relative error = 0.000581
region 815: cartogram area = -39.519306, relative error = -0.001328
region 826: cartogram area = -208.806414, relative error = 0.000517
region 837: cartogram area = -51.663124, relative error = -0.001240
region 848: cartogram area = -35.754021, relative error = 0.001945
region 860: cartogram area = -112.596903, relative error = -0.001185
region 871: cartogram area = -33.166520, relative error = 0.001596
region 882: cartogram area = -75.611046, relative error = -0.001022
region 893: cartogram area = -102.858760, relative error = 0.000807
region 904: cartogram area = -33.792569, relative error = -0.000603
region 915: cartogram area = -199.380202, relative error = 0.000201
region 926: cartogram area = -40.976139, relative error = -0.000363
region 937: cartogram area = -38.159497, relative error = 0.000178
region 948: cartogram area = -149.642364, relative error = -0.000045
region 959: cartogram area = -35.109864, relative error = 0.000033
region 971: cartogram area = -157.423069, relative error = -0.000004
region 982: cartogram area = -93.725952, relative error = -0.000002
region 993: cartogram area = -31.305086, relative error = 0.000043
region 1004: cartogram area = -138.679690, relative error = -0.000050
region 1015: cartogram area = -86.699001, relative error = 0.000081
region 1026: cartogram area = -27.738528, relative error = -0.000253
region 1037: cartogram area = -137.077561, relative error = 0.000115
region 1048: cartogram area = -34.293852, relative error = 0.000228
region 1059: cartogram area = -34.869188, relative error = 0.001982
region 1070: cartogram area = -103.571540, relative error = -0.001252
region 4: cartogram area = -34.414397, relative error = 0.002541
region 15: cartogram area = -27.364447, relative error = -0.002646
region 26: cartogram area = -29.489281, relative error = 0.002644
region 37: cartogram area = -38.599965, relative error = -0.002262
region 48: cartogram area = -37.030207, relative error = 0.002463
region 59: cartogram area = -31.275595, relative error = -0.002210
region 70: cartogram area = -35.456487, relative error = 0.002272
region 81: cartogram area = -37.471669, relative error = -0.001706
region 92: cartogram area = -44.047784, relative error = 0.003571
region 93: cartogram area = -43.272365, relative error = -0.002882
region 95: cartogram area = -46.500390, relative error = 0.002602
region 96: cartogram area = -44.200650, relative error = -0.002297
region 97: cartogram area = -41.879552, relative error = 0.002067
region 98: cartogram area = -39.205335, relative error = -0.001478
region 99: cartogram area = -34.564390, relative error = 0.001510
region 100: cartogram area = -32.516789, relative error = -0.000645
region 101: cartogram area = -33.266383, relative error = 0.000882
region 102: cartogram area = -29.886239, relative error = -0.000632
region 103: cartogram area = -30.795507, relative error = 0.000194
region 104: cartogram area = -32.863582, relative error = -0.000100
region 106: cartogram area = -33.133592, relative error = -0.000020
region 107: cartogram area = -37.889115, relative error = 0.000100
region 108: cartogram area = -39.093327, relative error = -0.000140
region 109: cartogram area = -41.202543, relative error = 0.000142
region 110: cartogram area = -43.896356, relative error = -0.000347
region 111: cartogram area = -43.485070, relative error = 0.000597
region 112: cartogram area = -42.844740, relative error = -0.000418
region 113: cartogram area = -40.174214, relative error = 0.001172
region 114: cartogram area = -37.662319, relative error = -0.001550
region 115: cartogram area = -37.634546, relative error = 0.002085
region 117: cartogram area = -43.982286, relative error = -0.003060
region 118: cartogram area = -38.232246, relative error = 0.003708
region 119: cartogram area = -34.617273, relative error = -0.003490
region 120: cartogram area = -28.352768, relative error = 0.003292
region 121: cartogram area = -42.165871, relative error = -0.002859
region 122: cartogram area = -47.453145, relative error = 0.002690
region 123: cartogram area = -45.598884, relative error = -0.003579
region 124: cartogram area = -47.918349, relative error = 0.003795
region 125: cartogram area = -47.652822, relative error = -0.003055
region 126: cartogram area = -46.402344, relative error = 0.004945
region 128: cartogram area = -37.248426, relative error = -0.003284
region 129: cartogram area = -37.410245, relative error = 0.003255
region 130: cartogram area = -35.445481, relative error = -0.002100
region 131: cartogram area = -32.092418, relative error = 0.002149
region 132: cartogram area = -33.563954, relative error = -0.001900
region 133: cartogram area = -35.726347, relative error = 0.001747
region 134: cartogram area = -39.065172, relative error = -0.001386
region 135: cartogram area = -38.655297, relative error = 0.000765
region 136: cartogram area = -38.489029, relative error = -0.000346
region 137: cartogram area = -66.853639, relative error = 0.000139
region 139: cartogram area = -191.800097, relative error = 0.000043
region 140: cartogram area = -182.456162, relative error = -0.000102
region 141: cartogram area = -126.122264, relative error = 0.000182
region 142: cartogram area = -56.111489, relative error = -0.000307
region 143: cartogram area = -41.179701, relative error = 0.000586
region 144: cartogram area = -40.913507, relative error = -0.000889
region 145: cartogram area = -44.405382, relative error = 0.000931
region 146: cartogram area = -41.532204, relative error = -0.001329
region 147: cartogram area = -40.172675, relative error = 0.002161
