Region Id,Region Data,Region Name
1,29.31,region_0_0
2,25.36,region_0_1
3,26.18,region_0_10
4,26.23,region_0_11
5,24.41,region_0_12
6,23.8,region_0_13
7,24.63,region_0_14
8,22.98,region_0_15
9,23.84,region_0_16
10,22.66,region_0_17
11,23.71,region_0_18
12,23.26,region_0_19
13,20.46,region_0_2
14,20.48,region_0_20
15,19.23,region_0_21
16,17.22,region_0_22
17,16.59,region_0_23
18,17.36,region_0_24
19,19.83,region_0_25
20,19.99,region_0_26
21,21.3,region_0_27
22,23.38,region_0_28
23,23.69,region_0_29
24,21.85,region_0_3
25,21.86,region_0_30
26,20.56,region_0_31
27,21.79,region_0_32
28,22.98,region_0_33
29,22.01,region_0_34
30,21.54,region_0_35
31,21.4,region_0_36
32,23.64,region_0_37
33,25.39,region_0_38
34,25.61,region_0_39
35,21.73,region_0_4
36,22.52,region_0_40
37,27.03,region_0_41
38,26.46,region_0_42
39,21.67,region_0_43
40,23.58,region_0_44
41,22.63,region_0_45
42,22.12,region_0_46
43,23.44,region_0_47
44,21.59,region_0_48
45,21.28,region_0_49
46,23.62,region_0_5
47,22.24,region_0_6
48,23.15,region_0_7
49,23.22,region_0_8
50,25.14,region_0_9
51,27.14,region_10_0
52,26.81,region_10_1
53,27.9,region_10_10
54,28.69,region_10_11
55,29.19,region_10_12
56,32.18,region_10_13
57,30.5,region_10_14
58,28.37,region_10_15
59,29.15,region_10_16
60,30.32,region_10_17
61,28.48,region_10_18
62,27.73,region_10_19
63,23.9,region_10_2
64,20.76,region_10_20
65,16.52,region_10_21
66,17.11,region_10_22
67,16.18,region_10_23
68,21.27,region_10_24
69,23.89,region_10_25
70,21.53,region_10_26
71,25.46,region_10_27
72,27.01,region_10_28
73,28.34,region_10_29
74,27.77,region_10_3
75,23.86,region_10_30
76,23.42,region_10_31
77,23.55,region_10_32
78,24.49,region_10_33
79,24.47,region_10_34
80,25.21,region_10_35
81,23.88,region_10_36
82,24.44,region_10_37
83,23.19,region_10_38
84,25.29,region_10_39
85,24.95,region_10_4
86,26.4,region_10_40
87,25.79,region_10_41
88,27.08,region_10_42
89,23.04,region_10_43
90,20.22,region_10_44
91,22.24,region_10_45
92,22.99,region_10_46
93,21.25,region_10_47
94,23.51,region_10_48
95,23.83,region_10_49
96,23.32,region_10_5
97,24.06,region_10_6
98,21.12,region_10_7
99,22.49,region_10_8
100,21.29,region_10_9
101,26.63,region_11_0
102,27.1,region_11_1
103,31.12,region_11_10
104,34.24,region_11_11
105,33.78,region_11_12
106,32.5,region_11_13
107,30.51,region_11_14
108,28.57,region_11_15
109,28.3,region_11_16
110,33.12,region_11_17
111,30.0,region_11_18
112,27.38,region_11_19
113,25.77,region_11_2
114,26.33,region_11_20
115,23.05,region_11_21
116,26.25,region_11_22
117,27.19,region_11_23
118,30.4,region_11_24
119,26.8,region_11_25
120,23.8,region_11_26
121,24.6,region_11_27
122,26.51,region_11_28
123,26.91,region_11_29
124,26.34,region_11_3
125,23.9,region_11_30
126,26.29,region_11_31
127,28.15,region_11_32
128,29.73,region_11_33
129,31.91,region_11_34
130,30.1,region_11_35
131,29.2,region_11_36
132,28.18,region_11_37
133,27.48,region_11_38
134,27.32,region_11_39
135,24.5,region_11_4
136,24.67,region_11_40
137,27.46,region_11_41
138,25.73,region_11_42
139,24.94,region_11_43
140,23.7,region_11_44
141,25.34,region_11_45
142,26.18,region_11_46
143,24.96,region_11_47
144,27.76,region_11_48
145,28.45,region_11_49
146,28.11,region_11_5
147,24.41,region_11_6
148,23.81,region_11_7
149,21.84,region_11_8
150,23.21,region_11_9
151,25.71,region_12_0
152,30.81,region_12_1
153,34.03,region_12_10
154,34.56,region_12_11
155,32.6,region_12_12
156,33.43,region_12_13
157,32.66,region_12_14
158,30.48,region_12_15
159,30.01,region_12_16
160,29.86,region_12_17
161,29.54,region_12_18
162,28.82,region_12_19
163,30.25,region_12_2
164,27.01,region_12_20
165,24.78,region_12_21
166,26.58,region_12_22
167,26.97,region_12_23
168,26.99,region_12_24
169,23.38,region_12_25
